MaxTemp,Temp3pm,Temp9am,Evaporation,Humidity9am,Sunshine,MinTemp,Humidity3pm,RainToday
27.0,25.8,15.5,5.2,51.0,10.6,9.6,30.0,0
13.3,9.6,9.7,1.8,86.0,0.9,8.8,89.0,1
21.8,21.2,17.7,1.2,77.0,6.5,16.1,56.0,1
28.7,27.0,26.8,4.6,68.0,3.4,21.8,61.0,0
35.0,32.9,30.3,16.0,6.0,9.5,21.7,17.0,0
30.0,29.1,19.4,10.6,41.0,11.5,15.3,16.0,0
11.9,11.6,6.3,0.6,74.0,4.9,1.7,62.0,0
29.1,26.5,25.8,9.6,64.0,6.1,21.6,54.0,0
20.0,18.4,15.7,5.0,66.0,12.7,10.4,65.0,0
25.7,24.4,20.6,3.6,80.0,5.6,18.7,59.0,0
13.5,12.5,9.6,3.2,92.0,7.3,4.7,39.0,1
32.2,29.1,20.0,7.4,88.0,3.3,19.1,38.0,0
15.4,14.6,6.2,3.8,45.0,10.5,-3.6,27.0,0
15.1,13.3,11.5,0.2,78.0,2.6,10.6,65.0,1
17.3,16.4,13.4,3.4,51.0,8.9,8.3,39.0,0
28.1,27.5,26.1,7.6,70.0,12.4,22.9,66.0,0
14.2,13.5,11.1,1.4,81.0,7.2,5.4,61.0,1
14.1,12.9,10.4,3.2,80.0,4.7,9.3,59.0,1
16.0,13.1,12.3,5.6,64.0,5.9,10.9,49.0,0
28.4,22.3,14.5,2.8,83.0,5.6,12.2,48.0,0
27.7,27.1,15.3,4.6,58.0,8.8,9.8,15.0,0
29.1,27.3,24.6,4.0,71.0,5.1,21.7,64.0,0
11.2,9.8,6.6,0.4,91.0,2.1,2.9,62.0,0
16.8,15.9,16.2,2.4,68.0,10.1,11.3,78.0,1
26.7,24.9,22.8,8.0,61.0,9.9,19.3,54.0,0
14.1,13.5,9.3,2.8,91.0,7.0,7.6,53.0,1
13.3,10.7,7.8,2.2,81.0,6.6,-3.3,53.0,0
13.4,13.0,9.9,1.6,81.0,0.2,7.0,76.0,1
29.0,27.8,21.1,6.4,69.0,8.5,17.9,44.0,1
23.4,23.2,15.1,4.2,55.0,11.3,3.8,20.0,0
25.7,24.0,22.5,5.2,63.0,5.5,19.6,62.0,0
31.6,31.0,26.8,5.4,94.0,6.0,24.7,70.0,1
21.3,20.3,18.7,4.6,81.0,8.7,17.1,68.0,0
33.3,32.7,29.2,5.4,75.0,10.9,24.9,47.0,1
34.3,33.5,25.1,5.6,21.0,11.4,10.5,12.0,0
19.9,18.7,11.4,2.4,97.0,3.6,7.8,58.0,1
14.7,13.8,10.4,2.4,92.0,1.9,3.2,60.0,1
14.5,13.8,10.2,1.2,79.0,3.9,6.5,70.0,1
18.1,17.4,12.6,1.6,74.0,9.5,4.3,48.0,0
23.8,21.9,16.0,7.2,66.0,9.5,7.8,44.0,0
11.2,10.7,9.9,1.2,100.0,0.0,9.4,100.0,0
31.2,26.4,20.2,14.2,67.0,11.3,19.2,46.0,1
25.3,24.3,23.0,5.0,71.0,9.4,20.5,69.0,1
13.0,12.4,4.0,1.0,82.0,5.5,-0.2,65.0,0
27.0,26.6,19.6,0.2,64.0,7.4,12.1,42.0,0
10.0,9.5,7.1,0.2,66.0,5.0,3.7,52.0,1
20.9,19.2,18.8,5.0,67.0,8.4,15.3,42.0,0
16.1,14.5,13.3,2.4,80.0,2.4,10.1,49.0,1
16.6,15.5,7.8,2.0,66.0,8.6,2.9,35.0,0
19.8,19.4,11.3,1.2,59.0,9.4,6.7,35.0,0
31.6,30.9,30.3,5.4,77.0,7.8,26.0,81.0,1
8.9,8.3,4.5,0.2,89.0,0.1,1.9,78.0,1
24.5,22.6,14.6,7.8,54.0,8.5,13.7,30.0,0
20.2,19.7,12.3,2.8,67.0,9.1,7.4,43.0,0
18.8,18.4,17.5,6.4,65.0,8.3,15.2,58.0,1
17.4,16.9,12.2,4.2,76.0,5.1,9.4,58.0,1
22.0,20.9,10.3,1.6,68.0,4.7,4.4,33.0,0
15.9,15.0,15.1,4.0,82.0,0.3,12.1,87.0,0
20.3,17.6,15.9,3.0,91.0,0.5,12.0,83.0,1
16.2,15.2,12.0,1.8,75.0,1.0,11.0,58.0,1
27.6,27.1,25.5,6.2,84.0,0.0,23.0,76.0,1
35.8,35.0,25.0,11.0,33.0,12.4,17.5,7.0,0
17.3,16.9,9.1,1.6,66.0,9.6,3.1,31.0,0
24.7,23.7,18.5,2.6,95.0,4.2,14.4,57.0,1
26.1,23.9,22.0,9.6,59.0,6.8,19.6,56.0,1
15.6,13.6,9.3,1.6,72.0,6.0,7.2,60.0,1
30.1,23.9,26.6,8.4,80.0,3.9,23.9,89.0,1
17.6,16.1,11.1,3.4,81.0,6.3,9.0,60.0,1
29.9,29.4,19.6,4.0,68.0,5.3,14.1,39.0,0
27.4,25.0,22.1,6.0,74.0,4.9,18.7,64.0,0
25.9,24.9,20.3,7.0,36.0,12.8,16.9,39.0,1
13.4,12.5,11.3,0.6,66.0,0.9,10.2,67.0,1
16.5,12.4,9.8,2.4,71.0,6.7,5.2,85.0,1
12.4,10.9,4.0,0.4,80.0,7.4,1.3,55.0,0
19.3,19.3,13.9,3.8,92.0,5.6,13.4,57.0,1
14.9,13.8,13.7,1.2,100.0,0.0,12.8,84.0,1
17.9,17.2,11.2,1.2,86.0,6.8,7.4,45.0,0
30.1,28.7,27.3,4.4,66.0,10.7,21.4,49.0,1
21.2,16.3,15.1,4.2,84.0,2.9,14.3,100.0,0
30.2,28.2,26.9,8.0,49.0,11.2,16.7,57.0,0
15.7,14.5,10.6,0.2,73.0,7.3,5.8,48.0,1
40.9,39.8,32.5,14.6,25.0,12.5,18.7,14.0,0
30.2,29.8,26.0,4.6,37.0,13.5,18.9,29.0,1
21.1,19.8,15.3,5.0,39.0,10.3,11.6,40.0,0
17.4,15.6,13.7,5.0,63.0,9.2,12.8,58.0,1
14.2,13.3,9.7,1.4,96.0,4.8,5.9,60.0,1
21.3,20.1,16.4,1.6,61.0,8.3,7.5,46.0,0
24.6,20.2,20.0,6.2,60.0,1.2,17.4,65.0,0
21.3,19.7,19.3,3.8,87.0,0.2,16.7,80.0,1
23.7,21.6,14.6,4.8,65.0,10.5,9.2,47.0,0
24.4,23.7,15.8,3.0,51.0,0.8,11.3,77.0,0
28.5,28.2,20.4,1.8,93.0,11.8,16.6,51.0,1
22.7,20.1,13.5,3.6,68.0,8.2,3.6,35.0,0
30.5,26.0,26.3,7.4,89.0,2.8,24.4,87.0,1
32.0,31.6,29.4,5.2,75.0,7.8,23.6,65.0,1
35.9,34.3,25.4,10.4,47.0,13.1,21.2,19.0,0
27.0,26.1,22.8,7.0,56.0,10.7,16.0,47.0,0
33.5,30.7,18.2,20.0,32.0,13.5,14.3,3.0,0
19.0,18.3,16.6,2.4,74.0,0.0,16.5,66.0,1
22.0,21.5,17.0,4.8,77.0,9.0,15.7,37.0,1
22.1,22.0,20.6,13.8,96.0,0.0,20.3,92.0,1
13.4,12.3,7.5,0.2,99.0,1.1,5.4,85.0,1
18.0,17.6,16.5,1.2,76.0,0.0,16.0,81.0,0
26.0,25.6,22.8,5.8,86.0,0.1,22.4,67.0,0
21.6,19.0,16.8,11.2,69.0,11.3,14.5,45.0,0
28.5,23.9,25.9,1.4,75.0,4.5,21.0,91.0,0
14.2,12.4,11.9,1.0,63.0,6.1,6.6,62.0,1
19.1,18.5,16.7,2.8,63.0,4.4,11.6,62.0,0
18.1,13.8,10.2,4.4,82.0,3.1,8.7,84.0,0
26.9,23.6,24.3,7.2,96.0,0.2,24.1,98.0,1
15.4,13.8,14.6,8.6,65.0,7.3,13.0,88.0,1
32.5,31.8,24.8,7.2,30.0,10.0,22.5,28.0,0
14.4,13.1,9.3,1.4,77.0,3.3,8.4,74.0,0
17.7,15.6,16.2,6.0,53.0,5.8,13.2,61.0,0
33.3,30.7,27.1,6.0,81.0,8.4,24.7,65.0,0
27.8,25.6,22.4,4.2,45.0,11.2,20.5,39.0,1
15.7,13.5,13.0,3.4,78.0,6.5,10.1,54.0,1
20.7,20.0,15.7,8.4,81.0,0.0,14.3,66.0,0
32.8,32.0,28.3,12.0,82.0,3.3,22.9,65.0,1
41.0,37.6,33.6,11.2,19.0,8.4,24.2,15.0,0
15.2,14.7,14.0,1.8,86.0,3.2,10.6,83.0,1
14.0,13.6,12.4,0.8,96.0,0.2,8.2,80.0,1
27.6,26.5,25.8,5.6,90.0,0.2,22.5,87.0,1
31.9,31.2,29.2,8.2,71.0,7.5,26.1,63.0,1
24.4,23.1,19.6,6.4,69.0,10.0,11.8,46.0,0
26.7,24.6,11.6,4.0,77.0,9.6,9.7,38.0,0
38.0,36.9,31.7,14.6,14.0,10.7,22.6,9.0,0
32.2,30.7,27.2,6.4,70.0,10.8,23.2,51.0,0
13.5,12.6,12.0,2.6,99.0,0.0,7.9,91.0,1
15.4,14.0,12.4,1.6,92.0,4.1,10.3,72.0,1
13.2,12.9,10.0,1.6,79.0,6.1,6.6,72.0,1
24.1,23.9,15.6,8.0,64.0,6.1,7.9,34.0,0
15.7,15.0,12.4,1.4,76.0,7.1,10.4,64.0,0
19.0,18.6,8.7,3.6,89.0,6.1,1.2,63.0,0
23.7,23.0,15.2,10.2,44.0,10.8,7.7,15.0,0
13.6,12.1,9.9,0.4,99.0,3.0,9.2,86.0,0
10.1,8.5,6.9,2.4,56.0,7.8,6.1,52.0,1
13.8,12.0,12.0,1.6,77.0,0.2,8.6,89.0,1
11.3,10.0,9.8,0.2,86.0,0.4,5.9,88.0,1
13.0,12.5,12.8,1.0,88.0,0.0,10.8,91.0,1
38.0,35.0,23.8,7.2,41.0,3.4,19.2,17.0,0
20.5,19.0,17.2,2.6,56.0,4.0,13.8,51.0,1
18.3,17.0,9.4,2.4,76.0,10.2,7.0,44.0,1
33.8,32.3,22.8,14.4,57.0,13.7,12.5,12.0,0
26.8,23.3,23.2,8.6,53.0,9.9,15.9,58.0,0
17.4,16.8,13.9,4.2,61.0,7.1,9.5,40.0,1
10.4,9.2,5.8,1.0,86.0,4.9,5.1,77.0,1
22.7,20.9,18.0,0.6,79.0,7.3,14.4,67.0,1
29.2,26.2,16.7,10.6,57.0,9.8,15.4,23.0,0
17.2,16.3,15.7,2.0,81.0,6.3,13.1,78.0,0
22.0,21.3,20.2,0.2,91.0,6.7,17.5,85.0,1
20.4,19.6,14.8,3.4,76.0,2.7,12.0,54.0,0
32.3,25.1,27.4,9.2,60.0,6.8,23.9,70.0,1
26.3,24.5,21.9,6.6,65.0,10.2,14.9,57.0,0
14.1,13.7,9.1,2.2,90.0,0.0,8.5,88.0,1
23.9,21.7,23.2,4.0,82.0,2.4,20.4,81.0,1
32.1,31.7,29.4,6.8,66.0,11.9,23.6,55.0,0
12.8,11.8,8.3,1.2,84.0,2.0,6.6,65.0,1
38.9,37.6,29.8,14.6,33.0,12.7,18.3,13.0,0
21.4,20.5,16.6,4.6,64.0,11.7,13.4,49.0,0
25.3,24.8,19.3,5.8,34.0,10.4,9.5,19.0,0
33.9,31.4,21.2,10.8,52.0,11.7,15.5,19.0,0
29.4,28.1,23.9,4.8,93.0,2.0,23.5,74.0,1
31.1,29.7,19.6,13.0,57.0,13.7,16.8,26.0,0
